condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
calm,bc_hub_cm3,blockchain,6,1,network_profit_with_inventory,104500112.2715243,103876691.23323236,105123533.30981623
calm,bc_hub_cm3,blockchain,6,1,satisfaction_index,0.00037098935303783904,0.0003683361099560864,0.00037364259611959166
calm,bc_hub_cm3,blockchain,6,1,fill_rate,1.2936658478753434e-06,-3.9469670351814023e-07,2.982028399268827e-06
calm,bc_hub_cm3,blockchain,6,1,retail_on_time_rate,0.0,0.0,0.0
calm,bc_hub_cm3,blockchain,6,1,quality_mean,0.0018517126005694218,0.0018392773439535914,0.0018641478571852523
calm,bc_hub_cm3,blockchain,6,1,costs_tech,2047999.9799999993,2047999.979999999,2047999.9799999995
calm,bc_hub_cm3,blockchain,6,1,costs_stockout,-24914.691666668652,-57434.51207297793,7605.12873964063
calm,bc_hub_cm3,blockchain,6,1,costs_holding,3714197.415333335,3550123.7470222022,3878271.0836444674
calm,bc_hub_cm3,blockchain,6,1,scrap_value,-157477304.31800002,-158352008.39036232,-156602600.2456377
calm,bc_hub_cm3,blockchain,6,1,bullwhip_DC,6.111236178831802e-05,-7.953994463119187e-05,0.0002017646682078279
calm,bc_hub_cm3,blockchain,6,1,bullwhip_MFG,-0.0019038827161897605,-0.004366089784932408,0.0005583243525528875
calm,bc_hub_cm3,blockchain,6,1,bullwhip_CM,0.016297929461453958,-0.015523875975143053,0.048119734898050964
calm,bc_hub_cm1,blockchain,6,1,network_profit,29087101.10833384,28872740.429183155,29301461.787484527
calm,bc_hub_cm1,blockchain,6,1,network_profit_with_inventory,29804695.7857399,29634811.740139768,29974579.83134003
calm,bc_hub_cm1,blockchain,6,1,satisfaction_index,0.00011351972887048515,0.00011143639744468684,0.00011560306029628345
calm,bc_hub_cm1,blockchain,6,1,fill_rate,1.1847892333882725e-09,-2.1488480725668063e-09,4.518426539343352e-09
calm,bc_hub_cm1,blockchain,6,1,retail_on_time_rate,0.0,0.0,0.0
calm,bc_hub_cm1,blockchain,6,1,quality_mean,0.0005675956823791887,0.0005571801682578825,0.0005780111965004949
calm,bc_hub_cm1,blockchain,6,1,costs_tech,2047999.9799999993,2047999.979999999,2047999.9799999995
calm,bc_hub_cm1,blockchain,6,1,costs_stockout,-22.91400000055631,-87.30748725241695,41.47948725130432
calm,bc_hub_cm1,blockchain,6,1,costs_holding,1059532.6019999823,1011842.2318022612,1107222.9721977033
calm,bc_hub_cm1,blockchain,6,1,scrap_value,-47576249.99066671,-47792056.61127603,-47360443.37005739
calm,bc_hub_cm1,blockchain,6,1,bullwhip_DC,8.328114716456743e-06,-1.0615200137065728e-05,2.7271429569979214e-05
calm,bc_hub_cm1,blockchain,6,1,bullwhip_MFG,-0.0005254678920909583,-0.00157144825244024,0.0005205124682583233
calm,bc_hub_cm1,blockchain,6,1,bullwhip_CM,0.004222034889696621,-0.0064840994030566585,0.0149281691824499
calm,ct_all,control_tower,48,1,network_profit,91467891.18966675,64312079.43750396,118623702.94182953
