tech,scope,firms,measure,mean,ci_low,ci_high,base_mean,git_commit,git_dirty,run_date
control_tower,all,48,quality_mean,0.00011033606858191399,6.858675948441887e-05,0.00015208537767940911,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,co2_kg,2482480.0738203526,466107.24777848553,4498852.89986222,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,costs_tech,31400400.15999999,27967926.45659048,34832873.8634095,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,costs_holding,-7985913.983333349,-12158895.051163578,-3812932.9155031205,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,costs_shipping,1525031.8656665485,-2725489.8436602093,5775553.574993307,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,costs_stockout,-15916390.611000001,-20572907.51944787,-11259873.702552132,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,scrap_value,-3569585.076666673,-6737098.988189679,-402071.16514366725,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,costs_handling,2194.4209999999653,1571.6612364540156,2817.180763545915,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,bullwhip_DC,-1.0943512941062834,-1.2889930800143339,-0.8997095081982328,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,bullwhip_MFG,-7.932631115843562,-9.323725322893997,-6.541536908793127,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,all,48,bullwhip_CM,-50.399123013809906,-59.310609634451325,-41.487636393168486,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,network_profit,7879535.477667745,-2518597.483070744,18277668.438406236,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,network_profit_with_inventory,8464407.831110127,791372.9562372454,16137442.70598301,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,satisfaction_index,0.00021447893676755555,0.00014670890374930695,0.00028224896978580415,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,fill_rate,0.0004155834593991751,0.00028186608982054827,0.000549300828977802,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,retail_on_time_rate,1.363633370613885e-06,-2.950512462400761e-05,3.223239136523538e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,quality_mean,3.139058528395614e-05,1.3309522731125916e-05,4.9471647836786374e-05,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,co2_kg,173872.62066529592,-1029176.7294078558,1376921.9707384477,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,costs_tech,11001600.0,9798981.47617769,12204218.52382231,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,costs_holding,6627977.886999965,4703422.054602784,8552533.719397146,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,costs_shipping,-362823.4633333842,-2339769.700625555,1614122.7739587866,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,costs_stockout,-8007225.016000002,-10583837.857409487,-5430612.174590517,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,scrap_value,3882094.150333309,2383660.77494207,5380527.525724549,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,costs_handling,1016.7110000000336,726.8222532696153,1306.599746730452,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,bullwhip_DC,-1.0825491097697748,-1.2753792201893577,-0.8897189993501919,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,bullwhip_MFG,-3.487234444383726,-4.114937481768097,-2.8595314069993556,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
control_tower,tier,12,bullwhip_CM,-17.194662950645316,-20.302099923758615,-14.087225977532018,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,network_profit,-8932182.248332722,-22794121.16063974,4929756.663974298,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,network_profit_with_inventory,1112626.909686788,-7436419.196767851,9661673.016141426,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,satisfaction_index,0.00021299172878915806,0.00013976964643720984,0.0002862138111411063,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,fill_rate,0.000380029850698053,0.00023704299114799213,0.0005230167102481139,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,retail_on_time_rate,4.228751839199981e-05,-7.946297012972256e-06,9.252133379697187e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
