condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high
calm,max_new_per_quarter,1,2,formed_network,0.0,0.0,0.0,0.0,0.0
calm,max_new_per_quarter,1,2,failed_acceptance,-11.770833333333334,-18.199612770881963,-5.342053895784703,94.48333333333333,82.7125
calm,max_new_per_quarter,1,2,failed_budget,0.00625,-0.0008702556232263311,0.013370255623226333,0.0,0.00625
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit,-149946.45935414633,-453500.88642057386,153607.9677122812,539820607.6154999,539670661.1561457
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit_with_inventory,-55220.70408066114,-164855.95851764118,54414.550356318905,484779317.3096232,484724096.60554254
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_satisfaction_index,1.679177195646845e-08,-3.6161201968536955e-08,6.974474588147386e-08,0.0008490126778391123,0.0008490294696110687
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_fill_rate,-2.1572834032595096e-07,-6.428389503942567e-07,2.1138226974235485e-07,0.0010743071368092237,0.0010740914084688977
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",costs_tech,-1818.7500416666269,-4813.505887021627,1176.0058036883736,48709195.8476875,48707377.097645834
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adoptions,-0.004166666666666667,-0.014662318361626618,0.006328985028293284,62.989583333333336,62.985416666666666
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",coalitions,-0.0020833333333333333,-0.00634375,0.0021770833333333334,4.825,4.822916666666667
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",mean_adopt_week,-0.004212122792379229,-0.013649925529696771,0.005225679944938314,31.77491931711978,31.770707194327404
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_ml_forecast,0.0,0.0,0.0,13.295833333333333,13.295833333333333
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_control_tower,-0.0020833333333333333,-0.011740421807016984,0.007573755140350318,14.210416666666667,14.208333333333334
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_rfid,0.0,0.0,0.0,17.94375,17.94375
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_aps,0.0,0.0,0.0,0.0,0.0
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_routing,-0.0020833333333333333,-0.006343749999999999,0.0021770833333333325,6.0,5.997916666666667
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_blockchain,0.0,0.0,0.0,11.539583333333333,11.539583333333333
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_dyad,-0.004166666666666667,-0.0126875,0.004354166666666667,2.8666666666666667,2.8625
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_triad,0.0,0.0,0.0,0.1,0.1
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_chain,0.0020833333333333333,-0.0021770833333333334,0.00634375,1.8583333333333334,1.8604166666666666
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_network,0.0,0.0,0.0,0.0,0.0
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_acceptance,0.0125,-0.0017405112464526622,0.026740511246452665,90.62083333333334,90.63333333333334
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_budget,-0.008333333333333333,-0.01640140496991107,-0.0002652616967555952,0.008333333333333333,0.0
cm3_12w,horizon_weeks,"(13, 52)","(52, 156)",d_network_profit,115948313.82256216,93744398.60147855,138152229.04364577,481771477.4745418,597719791.2971039
cm3_12w,horizon_weeks,"(13, 52)","(52, 156)",d_network_profit_with_inventory,94559613.38157538,70992609.1748181,118126617.58833265,437471900.2667951,532031513.6483705
cm3_12w,horizon_weeks,"(13, 52)","(52, 156)",d_satisfaction_index,0.00031700625961964153,0.0002188933345216249,0.0004151191847176582,0.0006905179439152698,0.0010075242035349112
cm3_12w,horizon_weeks,"(13, 52)","(52, 156)",d_fill_rate,9.459849687192383e-05,-2.278049019088423e-05,0.00021197748393473188,0.0010269000242030988,0.0011214985210750226
cm3_12w,horizon_weeks,"(13, 52)","(52, 156)",costs_tech,14313264.60091667,13182209.189082745,15444320.012750596,41551654.172208324,55864918.773125015
cm3_12w,horizon_weeks,"(13, 52)","(52, 156)",adoptions,23.0,20.940242788714784,25.059757211285216,51.4875,74.4875
cm3_12w,horizon_weeks,"(13, 52)","(52, 156)",coalitions,2.35625,2.0804734721269766,2.6320265278730237,3.6458333333333335,6.002083333333333
