condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
calm,bc_hub_cm3,blockchain,6,1,costs_stockout,-21023.68233332833,-47211.92509770095,5164.560431044298
calm,bc_hub_cm3,blockchain,6,1,costs_holding,7921838.632666663,7683437.0944424765,8160240.17089085
calm,bc_hub_cm3,blockchain,6,1,costs_scrap,-341644409.3929999,-342387269.86039776,-340901548.925602
calm,bc_hub_cm3,blockchain,6,1,bullwhip_DC,-3.9819414752736054e-05,-0.00015250348294180093,7.286465343632883e-05
calm,bc_hub_cm3,blockchain,6,1,bullwhip_MFG,-0.0005246294268448063,-0.0038913659371713665,0.0028421070834817536
calm,bc_hub_cm3,blockchain,6,1,bullwhip_CM,0.0681210471022799,0.011601210864539038,0.12464088334002076
calm,bc_hub_cm1,blockchain,6,1,network_profit,65468787.3920002,65105840.537690334,65831734.24631006
calm,bc_hub_cm1,blockchain,6,1,satisfaction_index,0.00024550164526968563,0.00024351527681394812,0.0002474880137254231
calm,bc_hub_cm1,blockchain,6,1,fill_rate,-4.918830013670809e-09,-1.565913334626979e-08,5.821473318928174e-09
calm,bc_hub_cm1,blockchain,6,1,retail_on_time_rate,0.0,0.0,0.0
calm,bc_hub_cm1,blockchain,6,1,quality_mean,0.0012275205234234495,0.0012175913969157326,0.0012374496499311665
calm,bc_hub_cm1,blockchain,6,1,costs_tech,2047999.9799999993,2047999.979999999,2047999.9799999995
calm,bc_hub_cm1,blockchain,6,1,costs_stockout,80.60833333333333,-95.4742408514929,256.6909075181596
calm,bc_hub_cm1,blockchain,6,1,costs_holding,2234261.8279999853,2168942.5293941214,2299581.1266058492
calm,bc_hub_cm1,blockchain,6,1,costs_scrap,-103203478.29266664,-103410477.95310596,-102996478.63222733
calm,bc_hub_cm1,blockchain,6,1,bullwhip_DC,1.335079557721978e-07,-2.596098188513428e-07,5.266257303957385e-07
calm,bc_hub_cm1,blockchain,6,1,bullwhip_MFG,-4.263371153593691e-06,-1.4748545975916307e-05,6.221803668728925e-06
calm,bc_hub_cm1,blockchain,6,1,bullwhip_CM,0.01388781188535783,0.00010031218605151965,0.02767531158466414
calm,ct_all,control_tower,48,1,network_profit,98536167.71666692,73101871.01994008,123970464.41339377
calm,ct_all,control_tower,48,1,satisfaction_index,0.00045606037321020975,0.0003126950009334159,0.0005994257454870036
calm,ct_all,control_tower,48,1,fill_rate,0.0008138076339473758,0.0005367219043889984,0.0010908933635057532
calm,ct_all,control_tower,48,1,retail_on_time_rate,1.8771906790948645e-05,-4.4850465447536517e-05,8.23942790294338e-05
calm,ct_all,control_tower,48,1,quality_mean,0.00021762492099612895,0.00019132775379680458,0.00024392208819545331
calm,ct_all,control_tower,48,1,costs_tech,35072000.15999999,35072000.15999999,35072000.15999999
calm,ct_all,control_tower,48,1,costs_stockout,-13337570.12533333,-17879030.176164538,-8796110.07450212
calm,ct_all,control_tower,48,1,costs_holding,-32843605.570000015,-37669657.542815365,-28017553.597184666
calm,ct_all,control_tower,48,1,costs_scrap,-19592969.39633333,-23036169.251810454,-16149769.540856203
calm,ct_all,control_tower,48,1,bullwhip_DC,-2.3024942483610475,-2.3702927873817456,-2.2346957093403494
calm,ct_all,control_tower,48,1,bullwhip_MFG,-13.000988548450131,-13.56699458734356,-12.434982509556702
calm,ct_all,control_tower,48,1,bullwhip_CM,-77.99387491308637,-81.94239479510634,-74.0453550310664
calm,bc_all,blockchain,36,1,network_profit,685500352.9150004,683179868.2812588,687820837.548742
calm,bc_all,blockchain,36,1,satisfaction_index,0.002097361072335439,0.002093408731134036,0.0021013134135368424
calm,bc_all,blockchain,36,1,fill_rate,2.030784686690712e-06,1.6760794894024503e-08,4.0448085784874e-06
calm,bc_all,blockchain,36,1,retail_on_time_rate,1.8707267641896823e-06,-1.954909468578217e-06,5.696362996957582e-06
calm,bc_all,blockchain,36,1,quality_mean,0.010478922309814209,0.010459498796556707,0.01049834582307171
calm,bc_all,blockchain,36,1,costs_tech,13311999.839999994,13311999.839999992,13311999.839999996
calm,bc_all,blockchain,36,1,costs_stockout,-33277.0263333261,-66280.20887350508,-273.84379314712714
calm,bc_all,blockchain,36,1,costs_holding,22575863.375333313,22016685.945528466,23135040.80513816
calm,bc_all,blockchain,36,1,costs_scrap,-1055025544.9580001,-1057156444.0571017,-1052894645.8588984
calm,bc_all,blockchain,36,1,bullwhip_DC,9.380035227728456e-05,-0.00025337582101323685,0.00044097652556780595
calm,bc_all,blockchain,36,1,bullwhip_MFG,-0.0008246685123075063,-0.00624787957905571,0.004598542554440698
calm,bc_all,blockchain,36,1,bullwhip_CM,0.0036537744150498003,-0.10811641235409104,0.11542396118419064
cm3_12w,ct_scattered,control_tower,6,6,network_profit,-5120000.0,-5120000.0,-5120000.0
cm3_12w,ct_scattered,control_tower,6,6,satisfaction_index,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,fill_rate,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,retail_on_time_rate,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,quality_mean,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,costs_tech,5120000.0,5120000.0,5120000.0
cm3_12w,ct_scattered,control_tower,6,6,costs_stockout,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,costs_holding,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,costs_scrap,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_DC,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_MFG,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_CM,0.0,0.0,0.0
cm3_12w,ct_dyads,control_tower,6,3,network_profit,7721740.100999832,-9658763.401751947,25102243.60375161
cm3_12w,ct_dyads,control_tower,6,3,satisfaction_index,0.00031480427498486264,0.0001405312195905307,0.0004890773303791946
cm3_12w,ct_dyads,control_tower,6,3,fill_rate,0.0005951660078821938,0.0002312773069285413,0.0009590547088358462
cm3_12w,ct_dyads,control_tower,6,3,retail_on_time_rate,1.9090117085825605e-05,-5.550263595638213e-05,9.368287012803335e-05
cm3_12w,ct_dyads,control_tower,6,3,quality_mean,5.7471179590299716e-05,-1.452147195063449e-06,0.00011639450637566289
cm3_12w,ct_dyads,control_tower,6,3,costs_tech,7296000.0,7296000.0,7296000.0
cm3_12w,ct_dyads,control_tower,6,3,costs_stockout,-9752868.010333339,-15716270.860947775,-3789465.159718903
cm3_12w,ct_dyads,control_tower,6,3,costs_holding,7647769.444333331,5378543.66697767,9916995.221688991
cm3_12w,ct_dyads,control_tower,6,3,costs_scrap,5023716.930666701,3379395.7104754047,6668038.150857997
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_DC,-1.9550579662764853,-2.0342983376539943,-1.8758175948989761
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_MFG,-5.324664150620227,-5.611845206605704,-5.03748309463475
cm3_12w,ct_dyads,control_tower,6,3,bullwhip_CM,-23.772284113711123,-25.683842190921208,-21.86072603650104
cm3_12w,ct_downstream_chain,control_tower,6,1,network_profit,60651144.74833336,33841808.31172314,87460481.18494357
cm3_12w,ct_downstream_chain,control_tower,6,1,satisfaction_index,0.0008984787089828787,0.0007074487054387741,0.0010895087125269833
cm3_12w,ct_downstream_chain,control_tower,6,1,fill_rate,0.0017681281477928948,0.0013700389655509821,0.0021662173300348074
cm3_12w,ct_downstream_chain,control_tower,6,1,retail_on_time_rate,-1.866595820748292e-05,-8.590424630058397e-05,4.8572329885618126e-05
cm3_12w,ct_downstream_chain,control_tower,6,1,quality_mean,0.00010007211274362474,1.353315560579414e-05,0.00018661106988145532
cm3_12w,ct_downstream_chain,control_tower,6,1,costs_tech,7423999.979999999,7423999.979999998,7423999.9799999995
cm3_12w,ct_downstream_chain,control_tower,6,1,costs_stockout,-28981719.537,-35510834.051811256,-22452605.022188745
cm3_12w,ct_downstream_chain,control_tower,6,1,costs_holding,10372185.544999996,8119071.726224037,12625299.363775956
cm3_12w,ct_downstream_chain,control_tower,6,1,costs_scrap,9156044.163000027,7534166.296520843,10777922.029479211
cm3_12w,ct_downstream_chain,control_tower,6,1,bullwhip_DC,-1.2646466175814,-1.3269060078556552,-1.2023872273071448
cm3_12w,ct_downstream_chain,control_tower,6,1,bullwhip_MFG,-7.735996250762428,-8.114310792882732,-7.357681708642124
cm3_12w,ct_downstream_chain,control_tower,6,1,bullwhip_CM,-31.014149775558497,-33.219784411957185,-28.80851513915981
cm3_12w,ct_upstream_chain,control_tower,6,1,network_profit,44022242.19799983,20665430.735151615,67379053.66084804
cm3_12w,ct_upstream_chain,control_tower,6,1,satisfaction_index,0.0009404199872983133,0.0007594601711110422,0.0011213798034855843
cm3_12w,ct_upstream_chain,control_tower,6,1,fill_rate,0.0017474184542294177,0.001387698035794399,0.002107138872664436
cm3_12w,ct_upstream_chain,control_tower,6,1,retail_on_time_rate,3.7758003993852246e-05,-1.8432360942423657e-05,9.394836893012815e-05
cm3_12w,ct_upstream_chain,control_tower,6,1,quality_mean,0.0002769167949273695,0.00022041633412287853,0.0003334172557318605
cm3_12w,ct_upstream_chain,control_tower,6,1,costs_tech,9984000.0,9984000.0,9984000.0
cm3_12w,ct_upstream_chain,control_tower,6,1,costs_stockout,-28639599.90366667,-34536411.41206601,-22742788.39526733
cm3_12w,ct_upstream_chain,control_tower,6,1,costs_holding,27859965.876999978,24789997.049594183,30929934.704405773
cm3_12w,ct_upstream_chain,control_tower,6,1,costs_scrap,15520963.683333348,12895349.772075105,18146577.59459159
cm3_12w,ct_upstream_chain,control_tower,6,1,bullwhip_DC,-0.06186275558918333,-0.1109495511062881,-0.012775960072078575
cm3_12w,ct_upstream_chain,control_tower,6,1,bullwhip_MFG,-5.8252039615396125,-6.128394968966781,-5.522012954112444
cm3_12w,ct_upstream_chain,control_tower,6,1,bullwhip_CM,-65.41384957323787,-68.71368004500036,-62.11401910147538
cm3_12w,bc_scattered,blockchain,6,6,network_profit,-1536000.0,-1536000.0,-1536000.0
cm3_12w,bc_scattered,blockchain,6,6,satisfaction_index,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,fill_rate,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,retail_on_time_rate,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,quality_mean,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,costs_tech,1536000.0,1536000.0,1536000.0
cm3_12w,bc_scattered,blockchain,6,6,costs_stockout,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,costs_holding,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,costs_scrap,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,bullwhip_DC,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,bullwhip_MFG,0.0,0.0,0.0
cm3_12w,bc_scattered,blockchain,6,6,bullwhip_CM,0.0,0.0,0.0
cm3_12w,bc_dyads,blockchain,6,3,network_profit,31722323.67633349,31575348.002623457,31869299.350043524
cm3_12w,bc_dyads,blockchain,6,3,satisfaction_index,9.246708552430593e-05,9.106970224258402e-05,9.386446880602785e-05
cm3_12w,bc_dyads,blockchain,6,3,fill_rate,1.5929956779607107e-08,-1.2498457835282146e-08,4.435837139449636e-08
cm3_12w,bc_dyads,blockchain,6,3,retail_on_time_rate,0.0,0.0,0.0
cm3_12w,bc_dyads,blockchain,6,3,quality_mean,0.00046229560272978236,0.00045529527762529855,0.0004692959278342662
cm3_12w,bc_dyads,blockchain,6,3,costs_tech,3072000.0,3072000.0,3072000.0
cm3_12w,bc_dyads,blockchain,6,3,costs_stockout,-261.254333337148,-727.3401285349073,204.83146186061128
cm3_12w,bc_dyads,blockchain,6,3,costs_holding,1108275.1813333312,1073737.6184384096,1142812.7442282527
cm3_12w,bc_dyads,blockchain,6,3,costs_scrap,-52618066.979333304,-52754733.89575889,-52481400.06290772
cm3_12w,bc_dyads,blockchain,6,3,bullwhip_DC,2.1632238613733535e-07,-3.553519507559893e-07,7.879967230306599e-07
cm3_12w,bc_dyads,blockchain,6,3,bullwhip_MFG,-4.384906622725282e-05,-0.00016221712720617166,7.4518994751666e-05
cm3_12w,bc_dyads,blockchain,6,3,bullwhip_CM,-0.04027960929528405,-0.04893257445425034,-0.03162664413631776
cm3_12w,bc_hub_cm3,blockchain,6,1,network_profit,219110816.3026671,215892431.2264761,222329201.37885812
cm3_12w,bc_hub_cm3,blockchain,6,1,satisfaction_index,0.0008694676673366208,0.0008285832512150127,0.000910352083458229
cm3_12w,bc_hub_cm3,blockchain,6,1,fill_rate,8.745370053277653e-05,2.134189898340799e-05,0.00015356550208214505
cm3_12w,bc_hub_cm3,blockchain,6,1,retail_on_time_rate,3.970504481679941e-06,-2.678529451961722e-06,1.0619538415321606e-05
cm3_12w,bc_hub_cm3,blockchain,6,1,quality_mean,0.0041227483286287924,0.0040630839003883285,0.0041824127568692564
cm3_12w,bc_hub_cm3,blockchain,6,1,costs_tech,2047999.9799999993,2047999.979999999,2047999.9799999995
cm3_12w,bc_hub_cm3,blockchain,6,1,costs_stockout,-1433205.449333322,-2516337.754717999,-350073.1439486451
cm3_12w,bc_hub_cm3,blockchain,6,1,costs_holding,8631939.178333338,8215666.321577644,9048212.035089033
cm3_12w,bc_hub_cm3,blockchain,6,1,costs_scrap,-329209530.0936666,-330143419.6311144,-328275640.5562188
cm3_12w,bc_hub_cm3,blockchain,6,1,bullwhip_DC,-0.009065071812081153,-0.01717504006266709,-0.0009551035614952189
cm3_12w,bc_hub_cm3,blockchain,6,1,bullwhip_MFG,-0.028427301799633636,-0.0493077212359411,-0.007546882363326169
cm3_12w,bc_hub_cm3,blockchain,6,1,bullwhip_CM,-0.28824554463318086,-0.4231516797840928,-0.15333940948226893
cm3_12w,bc_hub_cm1,blockchain,6,1,network_profit,62892140.56199964,62492828.08960417,63291453.03439511
cm3_12w,bc_hub_cm1,blockchain,6,1,satisfaction_index,0.00023972638433627328,0.0002319313201607268,0.0002475214485118198
cm3_12w,bc_hub_cm1,blockchain,6,1,fill_rate,-1.0076372070066952e-09,-2.6377621128043556e-09,6.224876987909652e-10
cm3_12w,bc_hub_cm1,blockchain,6,1,retail_on_time_rate,0.0,0.0,0.0
cm3_12w,bc_hub_cm1,blockchain,6,1,quality_mean,0.0011986344407746818,0.0011596595538954763,0.0012376093276538873
cm3_12w,bc_hub_cm1,blockchain,6,1,costs_tech,2047999.9799999993,2047999.979999999,2047999.9799999995
cm3_12w,bc_hub_cm1,blockchain,6,1,costs_stockout,16.53133333524068,-10.274198380811995,43.33686505129336
cm3_12w,bc_hub_cm1,blockchain,6,1,costs_holding,2335875.109000007,2258951.903129973,2412798.3148700413
cm3_12w,bc_hub_cm1,blockchain,6,1,costs_scrap,-99607657.22833328,-99881089.104374,-99334225.35229255
cm3_12w,bc_hub_cm1,blockchain,6,1,bullwhip_DC,7.123610045548881e-08,-7.47401414590281e-08,2.1721234237000575e-07
cm3_12w,bc_hub_cm1,blockchain,6,1,bullwhip_MFG,3.23521864866431e-05,-2.778828632154232e-06,6.748320160544044e-05
cm3_12w,bc_hub_cm1,blockchain,6,1,bullwhip_CM,-0.08356806622563037,-0.10886918012098132,-0.058266952330279426
cm3_12w,ct_all,control_tower,48,1,network_profit,119937526.0139998,84419610.51279049,155455441.51520914
cm3_12w,ct_all,control_tower,48,1,satisfaction_index,0.0012786101395383571,0.0009488161348895469,0.0016084041441871673
cm3_12w,ct_all,control_tower,48,1,fill_rate,0.0023494214226503587,0.001690314396618857,0.0030085284486818607
cm3_12w,ct_all,control_tower,48,1,retail_on_time_rate,4.1641759758851796e-05,-4.850779041269138e-05,0.00013179130993039496
cm3_12w,ct_all,control_tower,48,1,quality_mean,0.0004570345014278776,0.00039350965481173224,0.0005205593480440229
cm3_12w,ct_all,control_tower,48,1,costs_tech,35072000.15999999,35072000.15999999,35072000.15999999
cm3_12w,ct_all,control_tower,48,1,costs_stockout,-38506817.51633334,-49307343.733671114,-27706291.29899557
cm3_12w,ct_all,control_tower,48,1,costs_holding,11851449.11633333,7102202.040545411,16600696.192121249
cm3_12w,ct_all,control_tower,48,1,costs_scrap,3707101.3913333416,-71898.2270070971,7486101.00967378
cm3_12w,ct_all,control_tower,48,1,bullwhip_DC,-3.211819444591931,-3.329586488733337,-3.094052400450525
cm3_12w,ct_all,control_tower,48,1,bullwhip_MFG,-17.266067656308568,-18.017720386108795,-16.51441492650834
cm3_12w,ct_all,control_tower,48,1,bullwhip_CM,-94.82362446809755,-99.43892117002089,-90.20832776617421
cm3_12w,bc_all,blockchain,36,1,network_profit,663066127.0109999,658832728.9936574,667299525.0283425
cm3_12w,bc_all,blockchain,36,1,satisfaction_index,0.002174945268381456,0.002128924432481483,0.0022209661042814294
cm3_12w,bc_all,blockchain,36,1,fill_rate,0.00010375780032895928,2.451452777500499e-05,0.00018300107288291356
cm3_12w,bc_all,blockchain,36,1,retail_on_time_rate,-4.791882556457831e-06,-2.0456642909617967e-05,1.0872877796702303e-05
cm3_12w,bc_all,blockchain,36,1,quality_mean,0.010622519664919828,0.010576776622673156,0.0106682627071665
cm3_12w,bc_all,blockchain,36,1,costs_tech,13311999.839999994,13311999.839999992,13311999.839999996
cm3_12w,bc_all,blockchain,36,1,costs_stockout,-1700578.3950000086,-2999029.835823343,-402126.95417667413
cm3_12w,bc_all,blockchain,36,1,costs_holding,24177834.59666665,23282162.297879383,25073506.895453915
cm3_12w,bc_all,blockchain,36,1,costs_scrap,-1017653310.083,-1020299426.9193774,-1015007193.2466224
cm3_12w,bc_all,blockchain,36,1,bullwhip_DC,-0.010783305134784626,-0.019422386165166613,-0.0021442241044026394
cm3_12w,bc_all,blockchain,36,1,bullwhip_MFG,-0.029606341794373492,-0.0542029372874588,-0.005009746301288184
cm3_12w,bc_all,blockchain,36,1,bullwhip_CM,-0.7657140961724721,-0.9998349800746197,-0.5315932122703245
