scenario,tech,effect_scale,profit_with_inventory,profit,ci_low,ci_high,satisfaction,fill_rate,costs_tech,profit_cost_x0.5,profit_cost_x2,breakeven_cost_mult
calm,rfid,1.0,82995624.64506505,123137475.04533386,97265441.21364504,149009508.87702268,-7.954466780606776e-05,-0.000127225549368822,13824000.0,130049475.04533386,109313475.04533386,9.907514109182136
calm,rfid,1.5,116914269.18697307,156325349.5600006,130412517.47767368,182238181.64232752,-5.210776708004516e-05,-7.244167660681218e-05,13824000.0,163237349.5600006,142501349.5600006,12.308257346643561
calm,risk_intel,0.5,-8192000.0,-8192000.0,-8192000.0,-8192000.0,0.0,0.0,8192000.0,-4096000.0,-16384000.0,0.0
calm,risk_intel,1.0,-8192000.0,-8192000.0,-8192000.0,-8192000.0,0.0,0.0,8192000.0,-4096000.0,-16384000.0,0.0
calm,risk_intel,1.5,-8192000.0,-8192000.0,-8192000.0,-8192000.0,0.0,0.0,8192000.0,-4096000.0,-16384000.0,0.0
calm,routing,0.5,218627980.37533468,218627980.3753344,217392826.43854642,219863134.3121224,0.0,0.0,7168000.0,222211980.3753344,211459980.3753344,31.500555297898217
calm,routing,1.0,444423960.6660016,444423960.6660006,441953652.79682475,446894268.53517646,0.0,0.0,7168000.0,448007960.6660006,437255960.6660006,63.001110583984456
calm,routing,1.5,670219940.9683342,670219940.968334,666514479.1405115,673925402.7961564,0.0,0.0,7168000.0,673803940.968334,663051940.968334,94.50166587169838
calm,wh_robotics,0.5,49104571.993463136,49753446.98766606,36758834.473016076,62748059.50231605,0.003374356154084087,0.001141744527776726,19360000.0,59433446.98766606,30393446.987666063,3.569909451842255
calm,wh_robotics,1.0,123816438.68268585,125510017.1603335,103299291.05670671,147720743.2639603,0.006685954014255424,0.002364534542609472,19360000.0,135190017.1603335,106150017.1603335,7.482955431835408
calm,wh_robotics,1.5,182402073.73791784,181975507.55033392,152230808.08548668,211720207.01518115,0.009539271504720722,0.0033297152650516916,19360000.0,191655507.55033392,162615507.55033392,10.399561340409809
cm3_12w,aps,0.5,225660469.49413222,202001951.39933318,153075527.74456683,250928375.05409953,0.0022103256598377643,0.004379523069095041,13824000.0,208913951.39933318,188177951.39933318,15.612409678771208
cm3_12w,aps,1.0,386650928.2191297,344562937.7019994,273316567.1960625,415809308.20793635,0.0037015308449443378,0.007319875347353081,13824000.0,351474937.7019994,330738937.7019994,25.924981025896948
cm3_12w,aps,1.5,503360421.5686353,455265034.8046672,377786625.09103775,532743444.5182966,0.004771786875439358,0.009433623277604641,13824000.0,462177034.8046672,441441034.8046672,33.93294522603206
cm3_12w,blockchain,0.5,154569960.45943934,150690645.94066697,146980717.8089628,154400574.07237116,0.000511485012911661,5.2308030689041106e-05,10751999.94,156066645.91066697,139938646.00066698,15.015127118822043
cm3_12w,blockchain,1.0,314021817.8317347,306302704.9753347,300351826.19850874,312253583.75216067,0.0010072846121163437,7.394053802692127e-05,10751999.94,311678704.94533473,295550705.0353347,29.48797495206596
cm3_12w,blockchain,1.5,470340256.29149425,458617702.1400004,451474288.34128207,465761115.93871874,0.0014989956064828224,0.00010426617552464768,10751999.94,463993702.11000043,447865702.2000004,43.65417640432022
cm3_12w,control_tower,0.5,78746070.69497833,77077552.46533304,49330825.111766696,104824279.8188994,0.0011203590233271703,0.0020793132427198305,35072000.15999999,94613552.54533304,42005552.305333056,3.1976948025120295
cm3_12w,control_tower,1.0,91385405.73721465,120099868.54533386,79747540.96554951,160452196.1251182,0.0011780875453254755,0.002150019987361292,35072000.15999999,137635868.62533385,85027868.38533387,4.424380360328269
cm3_12w,control_tower,1.5,88852650.63856989,131672119.5286672,88089743.86367334,175254495.19366103,0.0011424785396644968,0.002045918128340596,35072000.15999999,149208119.6086672,96600119.36866722,4.754337332572231
cm3_12w,ml_forecast,0.5,32275795.44792328,22197272.91299998,-16331360.063101918,60725905.88910188,0.0005443512856332933,0.0009491615115938064,18944000.019999996,31669272.922999978,3253272.8929999843,2.1717310435792525
cm3_12w,ml_forecast,1.0,48678890.55408656,35902746.47799988,-20644876.233551063,92450369.18955082,0.0007961910789087294,0.001403890034641649,18944000.019999996,45374746.48799988,16958746.457999885,2.8952040984003276
cm3_12w,ml_forecast,1.5,37148342.712478384,19524315.418000795,-45176383.17257644,84225014.00857803,0.0007970906675346057,0.0013846228420869911,18944000.019999996,28996315.428000793,580315.3980007991,2.030633202987127
cm3_12w,rfid,0.5,17356976.823483277,47418961.4299998,24882046.495411266,69955876.36458834,-0.00024229192314400387,-0.0004860968554223799,13824000.0,54330961.4299998,33594961.4299998,4.430191075665494
cm3_12w,rfid,1.0,51094786.67998733,91342687.85733388,53277900.48275216,129407475.23191561,-0.00029305246002944523,-0.000586554960753601,13824000.0,98254687.85733388,77518687.85733388,7.607543971161305
