tech,scope,firms,measure,mean,ci_low,ci_high,base_mean
risk_intel,tier,4,co2_kg,0.0,0.0,0.0,2975435457.861808
risk_intel,tier,4,costs_tech,2317333.3333333335,2241137.9248776278,2393528.741789039,0.0
risk_intel,tier,4,costs_holding,0.0,0.0,0.0,1212962200.4356668
risk_intel,tier,4,costs_shipping,0.0,0.0,0.0,4516546662.023
risk_intel,tier,4,costs_stockout,0.0,0.0,0.0,316103452.5773334
risk_intel,tier,4,scrap_value,0.0,0.0,0.0,2534818648.414666
risk_intel,tier,4,costs_handling,0.0,0.0,0.0,2161722.944
risk_intel,tier,4,bullwhip_DC,0.0,0.0,0.0,8.097005523326827
risk_intel,tier,4,bullwhip_MFG,0.0,0.0,0.0,23.944031385413812
risk_intel,tier,4,bullwhip_CM,0.0,0.0,0.0,106.60575902029146
routing,all,10,network_profit,298579251.6503342,265037605.31321946,332120897.9874489,42097347577.692
routing,all,10,network_profit_with_inventory,298579251.65033495,265037605.31322026,332120897.98744965,41399307504.953445
routing,all,10,satisfaction_index,0.0,0.0,0.0,0.9614914698367085
routing,all,10,fill_rate,0.0,0.0,0.0,0.9835936735168377
routing,all,10,retail_on_time_rate,0.0,0.0,0.0,0.9134991801295925
routing,all,10,quality_mean,0.0,0.0,0.0,0.9782243951970597
routing,all,10,co2_kg,-148166069.51816833,-155948422.282833,-140383716.75350365,2975435457.861808
routing,all,10,costs_tech,6994666.666666667,6938273.766205922,7051059.567127412,0.0
routing,all,10,costs_holding,0.0,0.0,0.0,1212962200.4356668
routing,all,10,costs_shipping,-305573918.32199997,-339103484.26389223,-272044352.3801077,4516546662.023
routing,all,10,costs_stockout,0.0,0.0,0.0,316103452.5773334
routing,all,10,scrap_value,0.0,0.0,0.0,2534818648.414666
routing,all,10,costs_handling,0.0,0.0,0.0,2161722.944
routing,all,10,bullwhip_DC,0.0,0.0,0.0,8.097005523326827
routing,all,10,bullwhip_MFG,0.0,0.0,0.0,23.944031385413812
routing,all,10,bullwhip_CM,0.0,0.0,0.0,106.60575902029146
routing,tier,4,network_profit,-831444.3743326823,-1046596.8772459741,-616291.8714193905,42097347577.692
routing,tier,4,network_profit_with_inventory,-831444.3743319194,-1046596.8772450133,-616291.8714188255,41399307504.953445
routing,tier,4,satisfaction_index,0.0,0.0,0.0,0.9614914698367085
routing,tier,4,fill_rate,0.0,0.0,0.0,0.9835936735168377
routing,tier,4,retail_on_time_rate,0.0,0.0,0.0,0.9134991801295925
routing,tier,4,quality_mean,0.0,0.0,0.0,0.9782243951970597
routing,tier,4,co2_kg,-35677124.10000623,-40220876.32404886,-31133371.875963595,2975435457.861808
routing,tier,4,costs_tech,2968000.0,2923844.7183617665,3012155.2816382335,0.0
routing,tier,4,costs_holding,0.0,0.0,0.0,1212962200.4356668
routing,tier,4,costs_shipping,-2136555.609000079,-2384089.463579381,-1889021.7544207769,4516546662.023
routing,tier,4,costs_stockout,0.0,0.0,0.0,316103452.5773334
routing,tier,4,scrap_value,0.0,0.0,0.0,2534818648.414666
routing,tier,4,costs_handling,0.0,0.0,0.0,2161722.944
routing,tier,4,bullwhip_DC,0.0,0.0,0.0,8.097005523326827
routing,tier,4,bullwhip_MFG,0.0,0.0,0.0,23.944031385413812
routing,tier,4,bullwhip_CM,0.0,0.0,0.0,106.60575902029146
wh_robotics,all,4,network_profit,62928831.25266723,41440460.7277804,84417201.77755406,42097347577.692
wh_robotics,all,4,network_profit_with_inventory,63399691.42375539,41199028.25248207,85600354.59502871,41399307504.953445
wh_robotics,all,4,satisfaction_index,0.0038408928520363077,0.0032000075203356244,0.004481778183736991,0.9614914698367085
wh_robotics,all,4,fill_rate,0.001354052247954026,0.0009861579569547894,0.0017219465389532625,0.9835936735168377
wh_robotics,all,4,retail_on_time_rate,0.010544768109503866,0.008932249792890885,0.012157286426116846,0.9134991801295925
wh_robotics,all,4,quality_mean,2.1814760404044914e-06,-7.257573346217647e-06,1.162052542702663e-05,0.9782243951970597
wh_robotics,all,4,co2_kg,3981169.108958276,2566151.717627121,5396186.500289431,2975435457.861808
wh_robotics,all,4,costs_tech,18710000.0,18444150.0,18975850.0,0.0
wh_robotics,all,4,costs_holding,2752511.318666649,1730685.5206332183,3774337.1167000798,1212962200.4356668
wh_robotics,all,4,costs_shipping,6582733.557666651,4537084.022013784,8628383.093319517,4516546662.023
wh_robotics,all,4,costs_stockout,-26085532.40366667,-33170236.283934385,-19000828.52339896,316103452.5773334
wh_robotics,all,4,scrap_value,4340059.371999963,2966579.540790264,5713539.203209663,2534818648.414666
wh_robotics,all,4,costs_handling,-273698.75233333337,-316536.207834326,-230861.2968323407,2161722.944
wh_robotics,all,4,bullwhip_DC,0.014686481226720567,-0.014168956948096487,0.04354191940153762,8.097005523326827
wh_robotics,all,4,bullwhip_MFG,0.050119912377339065,-0.10276872525856989,0.20300855001324802,23.944031385413812
wh_robotics,all,4,bullwhip_CM,-0.0291541230208864,-1.0601261179786117,1.0018178719368387,106.60575902029146
