tech,scope,firms,measure,mean,ci_low,ci_high,base_mean
control_tower,tier,12,costs_scrap,9905579.763333289,8083113.675901104,11728045.850765474,2473340547.9873333
control_tower,tier,12,costs_handling,2383.0393333332922,1853.8304085575605,2912.248258109024,2161723.145
control_tower,tier,12,bullwhip_DC,-2.2843911087787174,-2.353841379344524,-2.214940838212911,8.097125892948798
control_tower,tier,12,bullwhip_MFG,-7.774849438707941,-8.121175061198635,-7.428523816217247,23.942497547522198
control_tower,tier,12,bullwhip_CM,-38.94012295903392,-41.285532771408896,-36.59471314665895,106.58600832614181
ml_forecast,all,14,network_profit,-42845906.12466634,-69768708.4221599,-15923103.827172782,32433544113.311333
ml_forecast,all,14,satisfaction_index,-3.573824873662756e-05,-0.0002531918437226048,0.00018171534624934966,0.9615006629437413
ml_forecast,all,14,fill_rate,-0.00013823419104342556,-0.0005786620729383064,0.00030219369085145533,0.9835936788846085
ml_forecast,all,14,retail_on_time_rate,2.6060574130559732e-05,-3.772388119542275e-05,8.984502945654222e-05,0.9134991801295925
ml_forecast,all,14,quality_mean,0.00012780337272979558,9.651790462353672e-05,0.00015908884083605442,0.9782703473127962
ml_forecast,all,14,co2_kg,-2341624.306898276,-6626746.10200163,1943497.4882050776,2975469535.6679535
ml_forecast,all,14,costs_tech,18944000.019999996,18944000.019999996,18944000.019999996,0.0
ml_forecast,all,14,costs_holding,-8031711.055666685,-11875146.344053749,-4188275.7672796203,1071385462.8423334
ml_forecast,all,14,costs_shipping,-2903517.343333308,-10193294.11212163,4386259.425455013,4465750363.3359995
ml_forecast,all,14,costs_stockout,2265952.8973333347,-4952731.984776055,9484637.779442726,268897126.5156667
ml_forecast,all,14,costs_scrap,-1517891.872333336,-4441708.651756234,1405924.907089562,2473340547.9873333
ml_forecast,all,14,costs_handling,-4598.560333333351,-5704.013118412909,-3493.1075482537935,2161723.145
ml_forecast,all,14,bullwhip_DC,-2.389042015055345,-2.5064306793822966,-2.271653350728393,8.097125892948798
ml_forecast,all,14,bullwhip_MFG,-10.410759044196574,-11.063028100548113,-9.758489987845035,23.942497547522198
ml_forecast,all,14,bullwhip_CM,-62.77478909387803,-66.91615763361571,-58.63342055414034,106.58600832614181
ml_forecast,tier,8,network_profit,-19826877.087332662,-41932439.6397668,2278685.4651014768,32433544113.311333
ml_forecast,tier,8,satisfaction_index,0.00012465800008143829,-2.460412117398614e-05,0.00027392012133686274,0.9615006629437413
ml_forecast,tier,8,fill_rate,0.00021430411644371612,-8.626884001351976e-05,0.0005148770729009519,0.9835936788846085
ml_forecast,tier,8,retail_on_time_rate,1.2648633012638892e-05,-5.566104389999407e-05,8.095830992527185e-05,0.9134991801295925
ml_forecast,tier,8,quality_mean,6.855675977886314e-05,3.764303308086054e-05,9.947048647686574e-05,0.9782703473127962
ml_forecast,tier,8,co2_kg,805945.5063520431,-1792116.9134966573,3404007.9262007438,2975469535.6679535
ml_forecast,tier,8,costs_tech,8192000.0,8192000.0,8192000.0,0.0
ml_forecast,tier,8,costs_holding,-4829474.436666659,-8293000.446534425,-1365948.4267988936,1071385462.8423334
