rate,arm,measure,mean,ci_low,ci_high
0.2,none_vs_calm,costs_stockout,761554782.4186666,509488337.380986,1013621227.4563472
0.2,none_vs_calm,costs_tech,0.0,0.0,0.0
0.2,none_vs_calm,adoptions,0.0,0.0,0.0
0.2,risk_intel,network_profit_with_inventory,724194555.7992232,496644958.22696996,951744153.3714764
0.2,risk_intel,fill_rate,0.012310661092155287,0.008682785105120222,0.015938537079190355
0.2,risk_intel,satisfaction_index,0.007117487921585704,0.005189575190714387,0.009045400652457021
0.2,risk_intel,retail_on_time_rate,0.0032693626926283675,0.002059233888400122,0.0044794914968566135
0.2,risk_intel,costs_stockout,-237171839.5316667,-307031619.25881666,-167312059.80451673
0.2,risk_intel,costs_tech,8192000.0,8192000.0,8192000.0
0.2,risk_intel,adoptions,10.0,10.0,10.0
0.2,aps,network_profit_with_inventory,306924205.3521004,216674421.91524702,397173988.7889537
0.2,aps,fill_rate,0.00610538460781663,0.004735103155142588,0.007475666060490671
0.2,aps,satisfaction_index,0.0030601788272215935,0.002387408736435285,0.003732948918007902
0.2,aps,retail_on_time_rate,6.172758040311847e-05,-8.096441757717511e-05,0.00020441957838341206
0.2,aps,costs_stockout,-117634733.45900002,-144036073.59600717,-91233393.32199289
0.2,aps,costs_tech,13824000.0,13824000.0,13824000.0
0.2,aps,adoptions,6.0,6.0,6.0
0.2,control_tower,network_profit_with_inventory,465064520.784913,315748954.29191506,614380087.277911
0.2,control_tower,fill_rate,0.008500058183689914,0.005979945615388895,0.011020170751990932
0.2,control_tower,satisfaction_index,0.004287381051232523,0.0029993506670518448,0.005575411435413202
0.2,control_tower,retail_on_time_rate,7.305908544548896e-07,-0.00014271093849566028,0.00014417212020457004
0.2,control_tower,costs_stockout,-163774747.18333337,-212314880.85654667,-115234613.51012006
0.2,control_tower,costs_tech,35072000.15999999,35072000.15999999,35072000.15999999
0.2,control_tower,adoptions,48.0,48.0,48.0
0.2,follow,network_profit_with_inventory,890237165.8299778,753953377.365442,1026520954.2945135
0.2,follow,fill_rate,0.005837032858202118,0.003490696378716513,0.008183369337687723
0.2,follow,satisfaction_index,0.0037495160544328407,0.0025481229506982214,0.00495090915816746
0.2,follow,retail_on_time_rate,7.58777051115119e-05,-5.736888138145008e-05,0.00020912429160447387
0.2,follow,costs_stockout,-112456453.16966663,-157644563.87905142,-67268342.46028185
0.2,follow,costs_tech,66925050.088999994,66528388.16752135,67321712.01047863
0.2,follow,adoptions,116.83333333333333,116.14639823277763,117.52026843388903
0.2,hybrid,network_profit_with_inventory,1556207621.052625,1273655965.4201236,1838759276.6851263
0.2,hybrid,fill_rate,0.01707613144549887,0.012383168752320041,0.021769094138677697
0.2,hybrid,satisfaction_index,0.010299217543929167,0.007803605390697522,0.012794829697160812
0.2,hybrid,retail_on_time_rate,0.003265773206161219,0.002072888764377301,0.004458657647945137
0.2,hybrid,costs_stockout,-328986625.6126667,-419352761.8526213,-238620489.37271217
0.2,hybrid,costs_tech,85227383.40000002,84662917.75587037,85791849.04412967
0.2,hybrid,adoptions,132.9,132.27716866593784,133.52283133406218
0.2,hybrid_robot,network_profit_with_inventory,1631352406.3491888,1336320911.4413333,1926383901.2570443
0.2,hybrid_robot,fill_rate,0.01853449994272392,0.013638009867004412,0.023430990018443426
0.2,hybrid_robot,satisfaction_index,0.013907633464256598,0.011277044258249741,0.016538222670263454
0.2,hybrid_robot,retail_on_time_rate,0.012862048395422938,0.011324887735227423,0.014399209055618454
0.2,hybrid_robot,costs_stockout,-357086974.32466674,-451376128.24961525,-262797820.39971823
0.2,hybrid_robot,costs_tech,102638900.07233332,102027008.2737295,103250791.87093714
0.2,hybrid_robot,adoptions,137.83333333333334,137.22824864830682,138.43841801835987
0.4,none_vs_calm,network_profit_with_inventory,-5920990752.540799,-6960294948.810938,-4881686556.27066
0.4,none_vs_calm,fill_rate,-0.09605904970093691,-0.11243752515545223,-0.0796805742464216
0.4,none_vs_calm,satisfaction_index,-0.05966514320765229,-0.06806050498589175,-0.05126978142941283
0.4,none_vs_calm,retail_on_time_rate,-0.03870778271986173,-0.05078396634607735,-0.02663159909364611
0.4,none_vs_calm,costs_stockout,1850592339.3853333,1535240312.6616597,2165944366.109007
0.4,none_vs_calm,costs_tech,0.0,0.0,0.0
0.4,none_vs_calm,adoptions,0.0,0.0,0.0
0.4,risk_intel,network_profit_with_inventory,1839024651.7127364,1565922543.739631,2112126759.6858418
0.4,risk_intel,fill_rate,0.030513756329779793,0.026102430738577966,0.03492508192098162
0.4,risk_intel,satisfaction_index,0.017877470811326384,0.015722303869328505,0.020032637753324263
0.4,risk_intel,retail_on_time_rate,0.008748037928317047,0.006550160309321085,0.010945915547313008
0.4,risk_intel,costs_stockout,-587861745.5126667,-672810863.6641829,-502912627.36115056
0.4,risk_intel,costs_tech,8192000.0,8192000.0,8192000.0
