condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_acceptance,-0.01875,-0.05709375,0.019593750000000004,92.94583333333334,92.92708333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_budget,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",d_network_profit,6387481.264874872,-6732986.225869732,19507948.755619474,275566102.7288757,281953583.9937506
calm,horizon_weeks,"(13, 52)","(52, 156)",d_network_profit_with_inventory,3316969.537527561,-8479992.174250618,15113931.24930574,251590983.23385295,254907952.7713805
calm,horizon_weeks,"(13, 52)","(52, 156)",d_satisfaction_index,9.174855302899627e-05,-1.6035683473847713e-06,0.0001851006744053773,0.00014317784659523408,0.00023492639962423035
calm,horizon_weeks,"(13, 52)","(52, 156)",d_fill_rate,0.00012184951871409162,-5.5927189854287654e-05,0.0002996262272824709,0.00027256430822803954,0.0003944138269421311
calm,horizon_weeks,"(13, 52)","(52, 156)",costs_tech,15035396.886666669,13347204.615767337,16723589.157566,30795672.920708332,45831069.80737501
calm,horizon_weeks,"(13, 52)","(52, 156)",adoptions,25.975,22.461669223881565,29.48833077611844,42.625,68.6
calm,horizon_weeks,"(13, 52)","(52, 156)",coalitions,1.6083333333333334,1.3639032297233928,1.852763436943274,0.31666666666666665,1.925
calm,horizon_weeks,"(13, 52)","(52, 156)",mean_adopt_week,5.141615957092034,2.9368040398031794,7.346427874380888,43.63595437189648,48.7775703289885
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_ml_forecast,4.972916666666666,4.173677394838627,5.772155938494706,12.429166666666667,17.402083333333334
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_control_tower,10.00625,8.437585522867595,11.574914477132404,3.925,13.93125
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_rfid,0.6083333333333333,0.30371277115582535,0.9129538955108412,21.475,22.083333333333332
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_routing,1.63125,1.371952892897537,1.890547107102463,4.741666666666666,6.372916666666667
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_blockchain,8.75625,6.546408696502243,10.966091303497755,0.05416666666666667,8.810416666666667
calm,horizon_weeks,"(13, 52)","(52, 156)",adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_dyad,0.16458333333333333,0.09676186317317605,0.23240480349349063,0.0,0.16458333333333333
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_triad,0.020833333333333332,0.003142916010323099,0.038523750656343565,0.0,0.020833333333333332
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_chain,1.4229166666666666,1.1788901998525585,1.6669431334807747,0.31666666666666665,1.7395833333333333
calm,horizon_weeks,"(13, 52)","(52, 156)",formed_network,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",failed_acceptance,8.48125,2.778551475496423,14.183948524503576,88.69583333333334,97.17708333333333
calm,horizon_weeks,"(13, 52)","(52, 156)",failed_budget,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,d_network_profit,-13938417.15595827,-23028439.848364912,-4848394.4635516275,285729051.93929225,271790634.783334
calm,chain_accept_share,0.4,0.8,d_network_profit_with_inventory,-5103173.634919961,-11022174.48548617,815827.2156462483,255801054.82007673,250697881.18515676
calm,chain_accept_share,0.4,0.8,d_satisfaction_index,-9.679211097324905e-05,-0.00014117379692242396,-5.241042502407414e-05,0.00023744817859635675,0.00014065606762310768
calm,chain_accept_share,0.4,0.8,d_fill_rate,-0.00018278586100338792,-0.0002713234448299211,-9.424827717685473e-05,0.0004248819980867793,0.00024209613708339137
calm,chain_accept_share,0.4,0.8,costs_tech,-11250230.208999999,-12076534.637027184,-10423925.780972814,43938486.46854166,32688256.25954167
calm,chain_accept_share,0.4,0.8,adoptions,-13.375,-14.907427231319254,-11.842572768680746,62.3,48.925
calm,chain_accept_share,0.4,0.8,coalitions,-1.0666666666666667,-1.1908932059324377,-0.9424401274008954,1.6541666666666666,0.5875
calm,chain_accept_share,0.4,0.8,mean_adopt_week,-0.763385207381593,-2.318664270902084,0.7918938561388977,46.588454954133276,45.8250697467517
calm,chain_accept_share,0.4,0.8,adopt_ml_forecast,-0.5729166666666666,-0.7776445576776096,-0.36818877565572367,15.202083333333333,14.629166666666666
calm,chain_accept_share,0.4,0.8,adopt_control_tower,-13.339583333333334,-14.404499731293823,-12.274666935372844,15.597916666666666,2.2583333333333333
calm,chain_accept_share,0.4,0.8,adopt_rfid,0.0,-0.056165333790760885,0.056165333790760885,21.779166666666665,21.779166666666665
calm,chain_accept_share,0.4,0.8,adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,adopt_routing,-0.13958333333333334,-0.25867808177486523,-0.02048858489180143,5.627083333333333,5.4875
calm,chain_accept_share,0.4,0.8,adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,adopt_blockchain,0.6770833333333334,-0.24483185087795845,1.5989985175446253,4.09375,4.770833333333333
calm,chain_accept_share,0.4,0.8,adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,formed_dyad,-0.06458333333333334,-0.12023930931423098,-0.008927357352435702,0.11458333333333333,0.05
calm,chain_accept_share,0.4,0.8,formed_triad,-0.020833333333333332,-0.038523750656343565,-0.003142916010323099,0.020833333333333332,0.0
calm,chain_accept_share,0.4,0.8,formed_chain,-0.98125,-1.0934384926856315,-0.8690615073143685,1.51875,0.5375
calm,chain_accept_share,0.4,0.8,formed_network,0.0,0.0,0.0,0.0,0.0
calm,chain_accept_share,0.4,0.8,failed_acceptance,46.235416666666666,42.58055923686388,49.890274096469454,69.81875,116.05416666666666
calm,chain_accept_share,0.4,0.8,failed_budget,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,d_network_profit,2144018.762875144,-251207.3644941724,4539244.89024446,277687833.97987556,279831852.7427507
calm,cost_split,equal,by_size,d_network_profit_with_inventory,1451866.0733096758,-629202.5134631402,3532934.660082492,252523534.9659619,253975401.03927156
calm,cost_split,equal,by_size,d_satisfaction_index,1.1874981889496474e-05,9.472410543214245e-09,2.3740491368449733e-05,0.00018311463216498397,0.00019498961405448045
calm,cost_split,equal,by_size,d_fill_rate,8.489381336765587e-06,-1.2541574729732539e-05,2.9520337403263713e-05,0.00032924437691670257,0.00033773375825346815
calm,cost_split,equal,by_size,costs_tech,1694069.7719166675,1075768.9139390897,2312370.6298942454,37466336.478083335,39160406.25
calm,cost_split,equal,by_size,adoptions,4.133333333333334,3.0406026848043037,5.226063981862364,53.545833333333334,57.67916666666667
calm,cost_split,equal,by_size,coalitions,0.25833333333333336,0.17086320843893216,0.34580345822773456,0.9916666666666667,1.25
calm,cost_split,equal,by_size,mean_adopt_week,-0.2011290112450323,-1.0899126093830747,0.68765458689301,46.30732685606502,46.10619784481998
calm,cost_split,equal,by_size,adopt_ml_forecast,0.0020833333333333333,-0.12297928431911166,0.12714595098577833,14.914583333333333,14.916666666666666
calm,cost_split,equal,by_size,adopt_control_tower,2.9854166666666666,2.1318724547291303,3.838960878604203,7.435416666666667,10.420833333333333
calm,cost_split,equal,by_size,adopt_rfid,0.0,-0.027405876671791132,0.027405876671791132,21.779166666666665,21.779166666666665
calm,cost_split,equal,by_size,adopt_aps,0.0,0.0,0.0,0.0,0.0
